1,12 pack pencils,0.99,50,12 pack of sharpened pencils,aisle 1,,1
2,calculator,40.99,30,Simple graphing calculator,aisle 2,batteries,1
3,stapler,2.99,28,Simple desk standard stapler,aisle 2,staples,1
4,ream of paper,8.99,42,Pack of 500 sheets of paper,aisle 3,printer,1
5,folder,0.49,100,Contain your documents in a this folder,aisle 3,,1
6,desk,99.99,4,Home office desk,aisle 5,desk pad,1
7,laptop,400.99,6,"Laptop 16' screen, 4gb RAM, 225 SSD",aisle 4,"MS, antivirus",1
8,printer,89.99,8,All in one inkjet printer,aisle 4,ink,1
9,chair,69.99,2,Rolling high-back leather chair with adjustable height,aisle 5,floor mat,1
10,monitor,125.99,1,22 inch monitor ,aisle 4,"hdmi cable, desktop",1
