1,ink subscription,10,monthly delivery of select ink,1
2,paper subscription,10,monthly delivery of select paper,1
3,furniture assembly,12.99,desk or chair assembly,1
4,tech support,39.99,30 min in store tech consultation,1
5,in-home tech support,49.99,30 min in home tech consultation,1
6,computer diagnostic,9.99,Let us test your computer to see how it is running,1
7,phone repair,99.99,central or screen phone repair,1
8,virus removal,99.99,removal of virus on pc or laptop,1
9,software installation,29.99,installatin of one software on a pc or laptop,1
10,data recovery,49.99,recover data after hard drive or compure failure,1
